time/fps,per/beta,_timestamp,rollout/ep_rew_mean,locals/num_collected_steps,global_step,trajectory/video,rollout/ep_len_mean,rollout/exploration_rate,_step,per/max_priority,train/loss,train/n_updates,locals/infos_0_lives,locals/rewards,eval/mean_ep_length,_runtime,time/_episode_num,locals/num_collected_episodes,eval/mean_reward,train/learning_rate,run
,,1780098530.9196255,,,69456.0,,,,389,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098530.9208775,15.94,,69456.0,,,,394,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098530.9209113,,,69456.0,,,,396,,,,,,,0.571954368,155.0,,,,Dueling DDQN+PER
,,1780098532.5756433,,,70960.0,,,0.9607749,405,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098532.5756662,,,70960.0,,,,406,,,,,,,0.571954368,159.0,,,,Dueling DDQN+PER
768.0,,1780098536.4865315,,,74640.0,,,,427,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098538.2049577,16.2,,76266.0,,,,434,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098540.0219827,,4.0,77992.0,,,,441,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098540.023229,,,77992.0,,,,446,,,,,,,0.571954368,175.0,,,,Dueling DDQN+PER
,,1780098542.108584,15.84,,79978.0,,,,454,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098542.1086266,,,79978.0,,,,456,,,,,,,0.571954368,179.0,,,,Dueling DDQN+PER
,,1780098544.1027052,,,81872.0,,,,459,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098544.104019,,,81872.0,,,,462,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,0.571954368,,,,,Dueling DDQN+PER
781.0,,1780098544.1041613,,,81872.0,,,,467,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098545.9073033,,,83542.0,,,,469,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098547.6720214,,2.0,85186.0,,,,481,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098549.5957465,,,87012.0,,446.1,,493,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098549.5957668,16.09,,87012.0,,,,494,,,,,,,0.571954368,,,,,Dueling DDQN+PER
789.0,,1780098549.5958316,,,87012.0,,,,497,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098549.5958507,,,87012.0,,,,498,,,0.0,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098551.2095017,,,88530.0,,,,500,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,,1780098552.8329175,,,90062.0,,,,510,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,,1780098552.834022,15.87,,90062.0,,,,514,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098552.8340518,,,90062.0,,,,516,,,,,,,0.571954368,203.0,,,,Dueling DDQN+PER
,,1780098554.4602873,,,91592.0,,,0.94936997,525,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098556.1849365,,,93223.0,,433.95,,533,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098557.9374433,15.73,,94885.0,,,,544,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098557.9375043,,,94885.0,,,,548,,,0.0,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098559.6678395,,1.0,96513.0,,,,551,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098561.6162102,,,98365.0,,,,559,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098563.2614164,,,99923.0,,426.73,,573,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098573.025971,,,100000.0,,,,581,,,,4.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098573.0259984,,3.0,100000.0,,,,583,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098582.534421,,,101455.0,,,,588,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,0.4101452,1780098582.5352552,,,101455.0,,,,592,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098582.5353124,,,101455.0,,,0.94391793,596,,,,,,,0.571954368,,,,,Dueling DDQN+PER
708.0,,1780098582.5353398,,,101455.0,,,,598,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098593.800524,,,103299.0,,,,607,4.982233,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098593.8005385,,,103299.0,,426.09,,608,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098593.8006058,,,103299.0,,,,613,,,,,,,0.571954368,,,,5e-05,Dueling DDQN+PER
,,1780098605.471923,,,105191.0,,,,616,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098605.4719963,,3.0,105191.0,,,,618,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098605.4727452,,,105191.0,,,,621,79.99976,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098605.472799,,,105191.0,,,,625,,,,,,,0.571954368,239.0,,,,Dueling DDQN+PER
,,1780098616.4893878,,,106961.0,,,,633,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,0.571954368,,,,,Dueling DDQN+PER
,0.410696,1780098616.4894311,,,106961.0,,,,634,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098616.4900796,,,106961.0,,,,642,,0.028401142,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098625.181752,,,108391.0,,,,644,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098625.1817937,,,108391.0,,,,645,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,,1780098625.1827395,,,108391.0,,,,647,,,,,"{'values': [1], 'bins': [0, 1e-12], '_type': 'histogram'}",,0.571954368,,,,,Dueling DDQN+PER
,0.4108388,1780098625.1827934,,,108391.0,,,,648,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098625.1828463,16.13,,108391.0,,,,651,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098637.745878,,,110423.0,,,,661,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,0.571954368,,,,,Dueling DDQN+PER
,0.411042,1780098637.7459261,,,110423.0,,,,662,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098637.7459836,,,110423.0,,,0.9389606,666,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098637.7460375,,,110423.0,,,,670,,0.027125549,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098649.689059,,3.0,112355.0,,,,674,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098649.689962,,,112355.0,,,,685,,,3088.0,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098660.9698982,,,114165.0,,,,691,80.00367,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098660.9699607,,,114165.0,,,0.93689215,694,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098671.6624548,,,115879.0,,,,701,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,,1780098681.6061473,,,117479.0,,,,714,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,0.4117476,1780098681.6070404,,,117479.0,,,,718,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098681.607097,16.86,,117479.0,,,,721,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098693.2313826,,,119337.0,,,,733,80.01201,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098702.9612436,,3.0,120923.0,,,,744,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098702.962266,,,120923.0,,,,751,,,,,,,0.571954368,275.0,,,,Dueling DDQN+PER
,,1780098713.283028,,,122575.0,,,,757,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,0.4122572,1780098713.2842379,,,122575.0,,,,760,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098713.284362,,,122575.0,,,,769,,,5643.0,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098727.1435282,,3.0,124803.0,,,,772,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098727.1446977,,,124803.0,,,,773,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,0.571954368,,,,,Dueling DDQN+PER
,,1780098748.6542614,,,128247.0,,,,801,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,0.571954368,,,,,Dueling DDQN+PER
,,1780098748.6543798,,,128247.0,,430.61,,804,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098748.6544528,,,128247.0,,,,807,,,,,,,0.571954368,291.0,,,,Dueling DDQN+PER
,,1780098779.14507,,,133117.0,,,0.92641586,848,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098788.9381995,,,134681.0,,,,863,,,,,,,0.571954368,307.0,,,,Dueling DDQN+PER
,,1780098788.9382513,,,134681.0,,,,867,,,8670.0,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098799.401545,16.97,,136341.0,,,,875,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098799.4016159,,,136341.0,,,,881,,,9085.0,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098810.9599245,,,138173.0,,,,895,,,9543.0,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098821.3867495,,,139839.0,,,,909,,,9959.0,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098833.242242,,,141717.0,,,,913,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,0.571954368,,,,,Dueling DDQN+PER
,,1780098833.2423704,,,141717.0,,,,919,,,,,,,0.571954368,323.0,,,,Dueling DDQN+PER
359.0,,1780098833.2423832,,,141717.0,,,,920,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098833.2432973,,,141717.0,,,,921,,,,,,,0.571954368,,,,5e-05,Dueling DDQN+PER
,,1780098844.8410456,,,143579.0,,,,924,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098854.2696428,,,145075.0,,,,939,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,,1780098854.271032,15.59,,145075.0,,,,945,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098854.2710445,,,145075.0,,,0.91980577,946,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098854.271058,,,145075.0,,,,947,,,,,,,0.571954368,331.0,,,,Dueling DDQN+PER
,,1780098865.3332462,,1.0,146841.0,,,,954,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098865.3341053,,,146841.0,,,,955,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,0.571954368,,,,,Dueling DDQN+PER
,0.414684,1780098865.33417,,,146841.0,,,,956,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098865.3342466,,,146841.0,,,,961,,,,,,,0.571954368,335.0,,,,Dueling DDQN+PER
,,1780098875.4272597,,,148445.0,,,,971,80.12615,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098875.4273117,,,148445.0,,,,975,,,,,,,0.571954368,339.0,,,,Dueling DDQN+PER
,,1780098875.42768,,,148445.0,,,,977,,,,,,,0.571954368,,,,5e-05,Dueling DDQN+PER
,,1780098898.2446735,,,150000.0,,,,980,,,,,,533.0,0.571954368,,,,,Dueling DDQN+PER
,,1780098898.2447598,,3.0,150000.0,,,,984,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098902.1272962,,,150499.0,,,,996,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,0.571954368,,,,,Dueling DDQN+PER
,,1780098902.127392,15.73,,150499.0,,,,1000,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098912.6337254,,,152177.0,,,,1007,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098912.633778,,1.0,152177.0,,,,1009,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,0.4152176,1780098912.6345596,,,152177.0,,,,1011,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098912.634609,15.8,,152177.0,,,,1014,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098912.635237,,,152177.0,,,,1018,,,,,,,0.571954368,,,,5e-05,Dueling DDQN+PER
,,1780098922.877445,,,153805.0,,,,1022,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
