eval/mean_ep_length,rollout/ep_len_mean,locals/num_collected_episodes,_timestamp,rollout/ep_rew_mean,train/loss,eval/mean_reward,time/fps,rollout/exploration_rate,_step,global_step,locals/num_collected_steps,train/learning_rate,train/n_updates,trajectory/video,locals/infos_0_lives,_runtime,locals/rewards,time/_episode_num,run
,,,1780166015.4756813,,,,,,961,155409.0,1.0,,,,,0.577534736,,,DDQN (baseline)
,,,1780166015.4766002,,0.04110374,,,,969,155409.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166024.812926,,,,,,971,157097.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,452.35,,1780166024.8136332,,,,,,975,157097.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166024.8136654,,,,,0.91316026,977,157097.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166024.8137255,,,,,,980,157097.0,,5e-05,,,,0.577534736,,,DDQN (baseline)
,,0.0,1780166033.7548585,,,,,,984,158745.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166033.7562099,,,,,,990,158745.0,,,,,,0.577534736,,359.0,DDQN (baseline)
,,0.0,1780166042.4429681,,,,,,996,160329.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166042.4440572,19.57,,,,,1000,160329.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166052.4443712,,,,,,1007,162153.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,,1780166052.4444232,,,,,,1009,162153.0,1.0,,,,,0.577534736,,,DDQN (baseline)
,449.39,,1780166052.4454908,,,,,,1011,162153.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166052.4455373,,,,,,1014,162153.0,,,,,,0.577534736,,367.0,DDQN (baseline)
,,,1780166052.445588,,,,,,1018,162153.0,,,15538.0,,,0.577534736,,,DDQN (baseline)
,,,1780166061.0032513,,,,,,1019,163729.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,,1780166061.004145,,,,,,1022,163729.0,,,,,,0.577534736,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,DDQN (baseline)
,,,1780166061.004212,19.33,,,,,1024,163729.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166061.0042415,,,,,,1026,163729.0,,,,,,0.577534736,,371.0,DDQN (baseline)
,,,1780166061.0042682,,,,,,1028,163729.0,,5e-05,,,,0.577534736,,,DDQN (baseline)
,,,1780166071.2566912,,,,,,1031,165609.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,,1780166071.2576742,,,,,,1042,165609.0,,,16402.0,,,0.577534736,,,DDQN (baseline)
,,,1780166080.647082,,,,,,1054,167311.0,,,16827.0,,,0.577534736,,,DDQN (baseline)
,,,1780166090.1372445,19.24,,,,,1060,169029.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166101.2981305,,,,,,1070,171055.0,,,,,,0.577534736,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,DDQN (baseline)
,,,1780166101.2982967,,,,,,1078,171055.0,,,17763.0,,,0.577534736,,,DDQN (baseline)
,,,1780166109.7554097,,,,,,1081,172603.0,3.0,,,,,0.577534736,,,DDQN (baseline)
,,,1780166109.7565522,,,,318.0,,1087,172603.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166119.5691724,19.61,,,,,1096,174381.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166119.5692644,,0.13955995,,,,1101,174381.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166129.0803254,,,,,,1103,176089.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,,1780166129.081467,,,,,,1114,176089.0,,,19022.0,,,0.577534736,,,DDQN (baseline)
,,,1780166137.816959,19.32,,,,,1120,177867.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166148.1306655,,0.031285636,,,,1137,179940.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166157.2474742,,,,,,1139,181600.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,,1780166157.248703,,,,,,1142,181600.0,,,,,,0.577534736,"{'bins': [0, 1e-12], '_type': 'histogram', 'values': [1]}",,DDQN (baseline)
,,,1780166157.2489707,,,,307.0,,1147,181600.0,,,,,,0.577534736,,,DDQN (baseline)
,451.48,,1780166168.4985626,,,,,,1155,183638.0,,,,,,0.577534736,,,DDQN (baseline)
,456.12,,1780166180.5312502,,,,,,1167,185790.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166189.6990705,21.28,,,,,1180,187470.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166189.6991148,,,,,,1182,187470.0,,,,,,0.577534736,,423.0,DDQN (baseline)
,,,1780166189.699132,,,,301.0,,1183,187470.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166189.699519,,,,,,1186,187470.0,,,21867.0,,,0.577534736,,,DDQN (baseline)
,,,1780166200.7696087,,,,,0.8952619,1193,189476.0,,,,,,0.577534736,,,DDQN (baseline)
,,0.0,1780166211.123674,,,,,,1200,191342.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166211.1245446,,,,,,1202,191342.0,,,,,,0.577534736,"{'bins': [0, 1e-12], '_type': 'histogram', 'values': [1]}",,DDQN (baseline)
,,,1780166211.1246543,,,,297.0,,1207,191342.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166221.4413888,,,,,,1211,193192.0,,,,,0.0,0.577534736,,,DDQN (baseline)
,,0.0,1780166221.4414346,,,,,,1212,193192.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166221.4423072,20.7,,,,,1216,193192.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166221.4423387,,,,,,1218,193192.0,,,,,,0.577534736,,435.0,DDQN (baseline)
,,,1780166221.442352,,,,295.0,,1219,193192.0,,,,,,0.577534736,,,DDQN (baseline)
,,,1780166232.714242,,,,,,1225,195208.0,4.0,,,,,0.577534736,,,DDQN (baseline)
