_step,eval/mean_reward,train/n_updates,train/learning_rate,locals/rewards,_timestamp,rollout/ep_len_mean,locals/infos_0_lives,locals/num_collected_steps,global_step,eval/mean_ep_length,train/loss,time/_episode_num,rollout/ep_rew_mean,locals/num_collected_episodes,_runtime,trajectory/video,rollout/exploration_rate,time/fps,run
625,,,,,1780166833.4615476,,,,107053.0,,,,,0.0,0.593633398,,,,Dueling DDQN
629,,,,,1780166833.4627728,,,,107053.0,,,,16.84,,0.593633398,,,,Dueling DDQN
631,,,,,1780166833.4628026,,,,107053.0,,,243.0,,,0.593633398,,,,Dueling DDQN
633,,,5e-05,,1780166833.46283,,,,107053.0,,,,,,0.593633398,,,,Dueling DDQN
634,,,,,1780166833.4628434,,,,107053.0,,0.041453667,,,,0.593633398,,,,Dueling DDQN
642,,,,,1780166841.937711,,,,108641.0,,,,,,0.593633398,,0.9399457,,Dueling DDQN
644,,,,,1780166841.9377387,,,,108641.0,,,,,,0.593633398,,,596.0,Dueling DDQN
645,,,5e-05,,1780166841.937751,,,,108641.0,,,,,,0.593633398,,,,Dueling DDQN
647,,2160.0,,,1780166841.9377751,,,,108641.0,,,,,,0.593633398,,,,Dueling DDQN
648,,,,,1780166851.3979535,,0.0,,110361.0,,,,,,0.593633398,,,,Dueling DDQN
649,,,,,1780166851.3979983,,,,110361.0,,,,,0.0,0.593633398,,,,Dueling DDQN
650,,,,,1780166851.3980205,,,1.0,110361.0,,,,,,0.593633398,,,,Dueling DDQN
651,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",1780166851.3988597,,,,110361.0,,,,,,0.593633398,,,,Dueling DDQN
661,,,,,1780166861.5233955,,,,112211.0,,,,,0.0,0.593633398,,,,Dueling DDQN
662,,,,,1780166861.5234206,,,3.0,112211.0,,,,,,0.593633398,,,,Dueling DDQN
666,,,,,1780166861.5248704,,,,112211.0,,,,,,0.593633398,,0.93797225,,Dueling DDQN
670,,,,,1780166861.5249465,,,,112211.0,,0.0022629676,,,,0.593633398,,,,Dueling DDQN
674,,,,,1780166871.195182,,,1.0,113969.0,,,,,,0.593633398,,,,Dueling DDQN
680,,,,,1780166871.1961994,,,,113969.0,,,,,,0.593633398,,,538.0,Dueling DDQN
681,,,5e-05,,1780166871.196221,,,,113969.0,,,,,,0.593633398,,,,Dueling DDQN
682,,,,,1780166871.1962364,,,,113969.0,,0.016056761,,,,0.593633398,,,,Dueling DDQN
685,,,,,1780166880.148706,,,,115623.0,,,,,0.0,0.593633398,,,,Dueling DDQN
687,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",1780166880.1497664,,,,115623.0,,,,,,0.593633398,,,,Dueling DDQN
691,,,,,1780166880.1499407,,,,115623.0,,,263.0,,,0.593633398,,,,Dueling DDQN
694,,,,,1780166880.149994,,,,115623.0,,0.0177897,,,,0.593633398,,,,Dueling DDQN
701,,,,,1780166889.310016,,,,117293.0,,,,16.21,,0.593633398,,,,Dueling DDQN
712,,,,,1780166899.091533,427.93,,,119059.0,,,,,,0.593633398,,,,Dueling DDQN
714,,,,,1780166899.0916004,,,,119059.0,,,,,,0.593633398,,0.9341868,,Dueling DDQN
718,,,,,1780166899.0917094,,,,119059.0,,0.034671538,,,,0.593633398,,,,Dueling DDQN
721,,,,,1780166909.3092225,,,,120925.0,,,,,0.0,0.593633398,,,,Dueling DDQN
724,,,,,1780166909.3106117,429.33,,,120925.0,,,,,,0.593633398,,,,Dueling DDQN
729,,,5e-05,,1780166909.3107224,,,,120925.0,,,,,,0.593633398,,,,Dueling DDQN
733,,,,,1780166919.3070304,,,,122721.0,,,,,0.0,0.593633398,,,,Dueling DDQN
744,,,,,1780166932.1132834,,0.0,,125031.0,,,,,,0.593633398,,,,Dueling DDQN
751,,,,,1780166932.1144314,,,,125031.0,,,283.0,,,0.593633398,,,,Dueling DDQN
753,,,5e-05,,1780166932.114464,,,,125031.0,,,,,,0.593633398,,,,Dueling DDQN
754,,,,,1780166932.114477,,,,125031.0,,0.01934751,,,,0.593633398,,,,Dueling DDQN
757,,,,,1780166940.4865785,,,,126549.0,,,,,0.0,0.593633398,,,,Dueling DDQN
760,,,,,1780166940.4879403,430.07,,,126549.0,,,,,,0.593633398,,,,Dueling DDQN
763,,,,,1780166940.487986,,,,126549.0,,,287.0,,,0.593633398,,,,Dueling DDQN
769,,,,,1780166949.22654,,,,128127.0,,,,,0.0,0.593633398,,,,Dueling DDQN
772,,,,,1780166949.227616,429.41,,,128127.0,,,,,,0.593633398,,,,Dueling DDQN
773,,,,,1780166949.2276344,,,,128127.0,,,,16.01,,0.593633398,,,,Dueling DDQN
775,,,,,1780166949.2276785,,,,128127.0,,,291.0,,,0.593633398,,,,Dueling DDQN
782,,,,,1780166958.3659399,,,3.0,129811.0,,,,,,0.593633398,,,,Dueling DDQN
790,,,,,1780166958.3669548,,,,129811.0,,0.013677742,,,,0.593633398,,,,Dueling DDQN
801,,,5e-05,,1780166968.4517217,,,,131663.0,,,,,,0.593633398,,,,Dueling DDQN
802,,,,,1780166968.4517348,,,,131663.0,,0.012106728,,,,0.593633398,,,,Dueling DDQN
804,,,,,1780166977.8015406,,0.0,,133367.0,,,,,,0.593633398,,,,Dueling DDQN
807,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",1780166977.8022568,,,,133367.0,,,,,,0.593633398,,,,Dueling DDQN
817,,,,,1780166987.819592,,,,135179.0,,,,,0.0,0.593633398,,,,Dueling DDQN
821,,,,,1780166987.8207695,,,,135179.0,,,,16.37,,0.593633398,,,,Dueling DDQN
822,,,,,1780166987.8207912,,,,135179.0,,,,,,0.593633398,,0.92527604,,Dueling DDQN
833,,,,,1780166996.453497,,,,136763.0,,,,16.31,,0.593633398,,,,Dueling DDQN
840,,,,,1780167006.381673,,0.0,,138551.0,,,,,,0.593633398,,,,Dueling DDQN
847,,,,,1780167006.382985,,,,138551.0,,,315.0,,,0.593633398,,,,Dueling DDQN
848,,,,,1780167006.382999,,,,138551.0,,,,,,0.593633398,,,399.0,Dueling DDQN
850,,,,,1780167006.3830252,,,,138551.0,,0.029731749,,,,0.593633398,,,,Dueling DDQN
854,,,,,1780167016.6627831,,,1.0,140417.0,,,,,,0.593633398,,,,Dueling DDQN
857,,,,,1780167016.6637878,,,,140417.0,,,,16.53,,0.593633398,,,,Dueling DDQN
863,,10104.0,,,1780167016.66387,,,,140417.0,,,,,,0.593633398,,,,Dueling DDQN
867,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",1780167025.213363,,,,141989.0,,,,,,0.593633398,,,,Dueling DDQN
875,,10497.0,,,1780167025.2135153,,,,141989.0,,,,,,0.593633398,,,,Dueling DDQN
876,,,,,1780167034.4020398,,0.0,,143655.0,,,,,,0.593633398,,,,Dueling DDQN
878,,,,,1780167034.4020917,,,3.0,143655.0,,,,,,0.593633398,,,,Dueling DDQN
881,,,,,1780167034.4029498,,,,143655.0,,,,15.2,,0.593633398,,,,Dueling DDQN
895,,,,,1780167044.990939,,,,145543.0,,,331.0,,,0.593633398,,,,Dueling DDQN
908,,,,,1780167058.4959931,,,,147991.0,,,,,,0.593633398,,,371.0,Dueling DDQN
909,,,5e-05,,1780167058.4960065,,,,147991.0,,,,,,0.593633398,,,,Dueling DDQN
